他感冒了。	tā gǎnmào le	He caught a cold.
你现在需要的就是放假。	nǐ xiànzài xūyào de jiùshì fàngjià	A holiday will be just the thing for you.
她上大学时经常练跑步.	tā shàng dàxué shí jīngcháng liàn pǎobù	She used to run when she was at college.
他是一位非常重要的人物。	tā shì yī wèi fēicháng zhòngyào de rénwù	He is a man of great importance.
别以为我能相信那件事.	bié yǐwéi wǒ néng xiāngxìn nà jiàn shì	You can scarcely expect me to believe that.
他将他的名字写在清单上。	tā jiāng tā de míngzi xiě zài qīngdān shàng	He wrote down his name on the list.
这里有很大的活动空间。	zhèlǐ yǒu hěn dà de huódòng kōngjiān	There is plenty of space here to move about.
她和我在学院里是同学。	tā hé wǒ zài xuéyuàn lǐ shì tóngxué	She and I were contemporaries at college.
她在电话中说话不太客气.	tā zài diànhuà zhōng shuōhuà bù tài kèqi	She sounded rather off on the phone.
我们在下午四点钟喝茶。	wǒmen zài xiàwǔ sì diǎnzhōng hē chá	We have tea at four o'clock in the afternoon.
我在写现代英语的语法书.	wǒ zài xiě xiàndài Yīngyǔ de yǔfǎshū	I'm writing a grammar of modern English.
我想我们能从中学到许多。	wǒ xiǎng wǒmen néng cóng zhōngxué dào xǔduō	I think we may learn much from it.
他已经习惯在外面吃饭了。	tā yǐjīng xíguàn zài wàimiàn chīfàn le	He is used to eating out all the time.
我们都支持他的科学研究。	wǒmen dōu zhīchí tā de kēxuéyánjiū	We all support his scientific research.
请给我找一个放糖的容器。	qǐng gěi wǒ zhǎo yī gè fàng táng de róngqì	Please find me a receptacle for sugar.
我从不错过踢足球的机会。	wǒ cóngbù cuòguò tī zúqiú de jīhuì	I never miss a chance of playing football.
父亲下午总要睡个午觉。	fùqīn xiàwǔ zǒngyào shuì gè wǔjiào	Father always takes a nap in the afternoon.
住寄宿舍比住旅馆便宜.	zhù jì sùshè bǐ zhù lǚguǎn piányi	It's cheaper to live in lodgings than in a hotel.
我不喜欢读他的文学批评。	wǒ bù xǐhuan dú tā de wénxué pīpíng	I don't like to read his literary criticism.
别把刚才跟你说的事忘了。	bié bǎ gāngcái gēn nǐ shuō de shì wàng le	Don't forget what I told you just now.
好像她已出去好几天了。	hǎoxiàng tā yǐ chūqù hǎo jǐ tiān le	It looks as if she's gone away for a few days.
我从报纸上得知这个消息。	wǒ cóng bàozhǐ shàng dézhī zhège xiāoxi	I learned this news from the newspaper.
排球是我很喜欢的运动。	páiqiú shì wǒ hěn xǐhuan de yùndòng	Volleyball is a sport of which I am very fond.
他昨天参加了我们的讨论。	tā zuótiān cānjiā le wǒmen de tǎolùn	He joined us in the discussion yesterday.
除我之外，他们都去睡觉了。	chú wǒ zhīwài tāmen dōu qù shuìjiào le	They all went to sleep except me.
今天食堂比往常忙得多.	jīntiān shítáng bǐ wǎngcháng máng dé duō	The canteen is more than usually busy today.
整个工作只需要半个小时。	zhěnggè gōngzuò zhǐ xūyào bànge xiǎoshí	The whole job only takes half an hour.
我找不到你寄给我的那封信。	wǒ zhǎobudào nǐ jì gěi wǒ de nà fēng xìn	I can't trace that letter you sent me.
我们每个星期四下午开会。	wǒmen měi gè Xīngqīsì xiàwǔ kāihuì	We have meetings every Thursday afternoon.
早饭后，他读了各种报纸。	zǎofàn hòu tā dú le gèzhǒng bàozhǐ	After breakfast he perused the newspapers.
这条街道比那条短四倍。	zhè tiáo jiēdào bǐ nà tiáo duǎn sì bèi	This street is four times shorter than that one.
她长成了一位漂亮的女人。	tā cháng chéngle yī wèi piàoliang de nǚrén	She developed into a beautiful woman.
我百分之百同意你的看法。	wǒ bǎifēnzhībǎi tóngyì nǐ de kànfǎ	I am a hundred percent in agreement with you.
这样的天才现在很少见。	zhèyàng de tiāncái xiànzài hěn shǎojiàn	It is rare to find such a genius nowadays.
你只要问他，他就会告诉你。	nǐ zhǐyào wèn tā tā jiù huì gàosu nǐ	You have only to ask and he'll tell you.
我是最近才开始学法语的。	wǒ shì zuìjìn cái kāishǐ xué Fǎyǔ de	I've only recently started learning French.
这是一个极为重要的问题。	zhè shì yī gè jíwéi zhòngyào de wèntí	This is an issue of the utmost importance.
他没穿鞋，看上去矮多了。	tā méi chuān xié kànshangqu ǎi duō le	He seems much shorter without his shoes on.
刚才你男朋友给你打电话了。	gāngcái nǐ nánpéngyou gěi nǐ dǎdiànhuà le	Your boyfriend called you just now.
天花板很低, 留神别碰头.	tiānhuābǎn hěn dī liúshén bié pèngtóu	Mind you don't bump your head on the low ceiling.
大米是我们生活的基本食物。	dàmǐ shì wǒmen shēnghuó de jīběn shíwù	Rice is our essential foodstuff in life.
我家附近新建了一家工厂。	wǒ jiā fùjìn xīnjiàn le yījiā gōngchǎng	A new factory was established near my home.
你把这个句子中的动词丢了。	nǐ bǎ zhège jùzi zhòngdì dòngcí diū le	You have omitted the verb in the sentence.
老师给全班同学作了听写。	lǎoshī gěi quánbān tóngxué zuò le tīngxiě	The teacher dictated to the whole class.
你不请大夫来, 他就得死了.	nǐ bù qǐng dàifu lái tā jiù dé sǐ le	He will certainly die if you don't call a doctor.
他喜欢拿他的同学开玩笑。	tā xǐhuan ná tā de tóngxué kāiwánxiào	He likes playing jokes on his classmates.
他们要去动物园或打排球。	tāmen yào qù dòngwùyuán huò dǎ páiqiú	They will go to the zoo or play volleyball.
爸爸每天早上走路去上班。	bàba měitiān zǎoshang zǒulù qù shàngbān	Father walks to his office every morning.
我们决定立刻去火车站。	wǒmen juédìng lìkè qù huǒchēzhàn	We determined to go to the railway station at once.
这个小男孩能够数到一千。	zhège xiǎo nánhái nénggòu shǔ dào yī qiān	The little boy can count up to a thousand.
有的人爱先做难做的工作。	yǒude rén ài xiān zuò nán zuò de gōngzuò	Some people tackle the difficult jobs first.
这个小男孩跑去找他的哥哥。	zhège xiǎo nánhái pǎo qù zhǎo tā de gēge	The little boy ran off to get his brother.
这座公路桥现在开放通行。	zhè zuò gōnglù qiáo xiànzài kāifàng tōngxíng	The road bridge is now open to traffic.
把这些信送到对面邮局去。	bǎ zhèxiē xìn sòng dào duìmiàn yóujú qù	Take these letters over to the post office.
那男子一举一动像个大男孩。	nà nánzǐ yījǔyīdòng xiàng gè dà nánhái	That man behaves like an overgrown child.
这家医院有二百个床位。	zhè jiā yīyuàn yǒu èr bǎi gè chuángwèi	This hospital has accommodation for 200 patients.
可能的话，她想跟我们一起去。	kěnéng dehuà tā xiǎng gēn wǒmen yīqǐ qù	If possible, She wants to go with us.
这不是一个很重要的问题。	zhè bùshì yī gè hěn zhòngyào de wèntí	This is not an issue of the utmost importance.
不论你在哪里，我都会想念你。	bùlùn nǐ zài nǎlǐ wǒ dūhuì xiǎngniàn nǐ	Wherever you are, I will miss you.
她认为自己懂得什么是生活。	tā rènwéi zìjǐ dǒngde shénme shì shēnghuó	She esteemed that she knew what life was.
别哭，你现在已经是大男孩了。	bié kū nǐ xiànzài yǐjīng shì dà nánhái le	Don't cry, you are a big boy now.
别都挤在一块儿, 分开坐吧.	bié dōu jǐ zài yīkuàir fēnkāi zuò ba	Don't all sit together, spread yourselves out.
听到脚步声，就知道他回来了。	tīngdào jiǎobù shēng jiù zhīdào tā huílai le	Footsteps announced his return.
他为我切了几块很好的鸡肉。	tā wéi wǒ qiē le jǐ kuài hěn hǎo de jīròu	He carved me some very nice pieces of chicken.
这些电影只适宜成人观看。	zhèxiē diànyǐng zhǐ shìyí chéngrén guānkàn	These films are suitable for adults only.
这封信只用一张纸写成。	zhè fēng xìn zhǐ yòng yī zhāng zhǐ xiě chéng	The letter was written on a single sheet of paper.
我要去图书馆还这些书。	wǒ yào qù túshūguǎn hái zhèxiē shū	I'm just going to check in these books at the library.
下点雨会使我们感到凉快一些。	xià diǎn yǔ huì shǐ wǒmen gǎndào liángkuai yīxiē	Some rain would cool us down.
小女孩立志要做一名科学家。	xiǎo nǚhái lìzhì yào zuò yī míng kēxuéjiā	The young girl aspired to be a scientist.
我希望演说者不要离题。	wǒ xīwàng yǎnshuōzhě bùyào lítí	I wish the speaker would confine himself to the subject.
我正在做晚饭时停电了。	wǒ zhèngzài zuò wǎnfàn shí tíngdiàn le	While I was cooking supper the electricity went off.
青少年是身体成熟期。	qīngshàonián shì shēntǐ chéngshú qī	Teenage is the period at which the body reaches maturity.
那就说明了她不在这里的原因。	nà jiù shuōmíng le tā bùzài zhèlǐ de yuányīn	That explains why she is not here.
有许多来自那个国家的难民。	yǒu xǔduō láizì nàge guójiā de nànmín	There are many refugees from that country.
妈妈准备了好吃的东西给我。	māma zhǔnbèi le hǎochī de dōngxi gěi wǒ	Mother has something delicious in store for me.
使学生学习是教师的责任。	shǐ xuésheng xuéxí shì jiàoshī de zérèn	It's a teacher's business to make student learn.
我不喝酒, 给我来杯汽水吧.	wǒ bù hējiǔ gěi wǒ lái bēi qìshuǐ ba	I won't have any wine; I'll just have (a) soda water.
她很快成为大家注意的人物。	tā hěn kuài chéngwéi dàjiā zhùyì de rénwù	She soon becomes the centre of attention.
我认为我已找到理想的爱人了。	wǒ rènwéi wǒ yǐ zhǎodào lǐxiǎng de àiren le	I think I've met the love of my life.
我为准备英语考试的人做辅导。	wǒ wéi zhǔnbèi Yīngyǔ kǎoshì de rén zuò fǔdǎo	I coach people for English exams.
我们应该对下一代负责。	wǒmen yīnggāi duì xiàyīdài fùzé	We should be responsible for the generation as yet unborn.
我爱她就像爱自己的女儿一样。	wǒ ài tā jiù xiàng ài zìjǐ de nǚ'ér yīyàng	I have loved her like a father should.
我能和你做生意，太高兴了。	wǒ néng hé nǐ zuòshēngyì tài gāoxìng le	I am only too pleased to do business with you.
这辆汽车亮起了危险信号灯。	zhè liàng qìchē liàng qǐ le wēixiǎn xìnhàodēng	The car had its hazard warning lights on.
这决非解决问题的好办法。	zhè jué fēi jiějué wèntí de hǎo bànfǎ	This is by no means a good way to solve the problem.
天气预报说明天是晴天。	tiānqìyùbào shuōmíng tiān shì qíngtiān	The weather forecast says it will be sunny tomorrow.
我有两个姐姐. 她们都是医生.	wǒ yǒu liǎng gè jiějie tāmen dōu shì yīshēng	I've got two sisters. They'reboth doctors.
这家新开的商店里挤满了顾客。	zhè jiā xīn kāi de shāngdiàn lǐ jǐmǎn le gùkè	The new store is crowded with customers.
她是个在英国的外国留学生。	tā shì gè zài Yīngguó de wàiguó liúxuéshēng	She is an overseas student in Britain.
九月的天气确实像秋天了。	Jiǔyuè de tiānqì quèshí xiàng qiūtiān le	The weather in September was positively autumnal.
如果有机会，你应当到那里去。	rúguǒ yǒu jīhuì nǐ yīngdāng dào nàli qù	You should go there if occasion arises.
没有这么大的地方来放这些书。	méiyǒu zhème dà de dìfang lái fàng zhèxiē shū	There is not so much room for these books.
离开房间前，请把灯关掉。	líkāi fángjiān qián qǐng bǎ dēng guāndiào	Please turn the light off before leaving the room.
她各种音乐都喜爱，和我一样。	tā gèzhǒng yīnyuè dōu xǐ'ài hé wǒ yīyàng	She enjoys all kinds of music, as I do.
他经常给当地报纸写文章。	tā jīngcháng gěi dāngdì bàozhǐ xiě wénzhāng	He constantly writes articles for the local paper.
他们讨论了气候和其他的话题。	tāmen tǎolùn le qìhòu hé qítā dehuà tí	They discussed the weather and other topics.
那店员一点也不怕麻烦。	nà diànyuán yīdiǎn yě bùpà máfan	The shop assistant was not in the least afraid of the trouble.
游船上的人们看上去很高兴。	yóu chuán shàng de rénmen kànshangqu hěn gāoxìng	People on the barge looked rather happy.
她把幸福和有钱联想到一起。	tā bǎ xìngfú hé yǒuqián lián xiǎngdào yīqǐ	She associated happiness with having money.
他在开会，没空来接电话。	tā zài kāihuì méi kōng lái jiē diànhuà	He is in conference and cannot come to the telephone.
希思先生是英国前任首相。	xī sī xiānsheng shì Yīngguó qiánrèn shǒuxiàng	Mr. Heath is the former Prime Minister of Britain.
我们试图让她和她的家庭和好。	wǒmen shìtú ràng tā hé tā de jiātíng héhǎo	We tried to reconcile her with her family.
她最初是以当演员而成名的.	tā zuìchū shìyǐ dāng yǎnyuán ér chéngmíng de	She first made a name for herself as an actress.
他是去年六月开始在这里工作的。	tā shì qùnián Liùyuè kāishǐ zài zhèlǐ gōngzuò de	He started work here last June.
他没有给我回答他问题的机会。	tā méiyǒu gěi wǒ huídá tā wèntí de jīhuì	He gave me no chance to reply to his question.
我希望这本书的字再大一点儿。	wǒ xīwàng zhè běn shū de zì zài dà yīdiǎnr	I wish this book was written in bigger character.
她常常一边看电视一边织毛衣。	tā chángcháng yībiān kàn diànshì yībiān zhī máoyī	She often knits while watching TV.
希望你能感到像一家人一样.	xīwàng nǐ néng gǎndào xiàng yījiārén yīyàng	We'd like you to feel you're part of the family.
处理这个问题有好几个方法。	chǔlǐ zhège wèntí yǒu hǎo jǐge fāngfǎ	There are several ways of approaching the problem.
我是用电动打字机打这封信的。	wǒ shì yòng diàndòng dǎzìjī dǎ zhè fēng xìn de	I did the letter on my electric typewriter.
我们应该全体讨论班级活动。	wǒmen yīnggāi quántǐ tǎolùn bānjí huódòng	We must discuss the class activities in a body.
那男孩今天早上吃了三碗米饭。	nà nánhái jīntiān zǎoshang chī le sān wǎn mǐfàn	The boy ate three bowls of rice this morning.
他们通过一条小路爬到山上。	tāmen tōngguò yī tiáo xiǎolù pá dào Shānshàng	They climbed up the mountain through a defile.
原来她姑姑就是我表姐.	yuánlái tā gūgu jiùshì wǒ biǎojiě	It turns out that her aunt and my cousin are one and the same (person).
我问了一位本地人，该走哪条路。	wǒ wèn le yī wèi běndìrén gāi zǒu nǎ tiáo lù	I asked one of the locals which way to go.
